"input" "reason" "matches" "symbol" "organism.name" "secondaryIdentifier" "primaryIdentifier" "class" "briefDescription"
"WBGene00003783" "MATCH" "1" "nos-1" "Caenorhabditis elegans" "R03D7.7" "WBGene00003783" "Gene" "nos-1 encodes an putative RNA-binding protein that contains a zinc-binding motif homologous to that of Drosophila Nanos, a posterior-group protein required for embryonic patterning and primordial germ cell development; in C. elegans, NOS-1 is required redundantly with NOS-2, a second Nanos homolog, for maintenance of germ cell viability during postembryonic development and for preventing primordial germ cells from dividing in the absence of food; nos-1 mRNA is expressed dynamically in the embryo, with early expression seen throughout the embryo and later expression restricted solely to germline blastomeres; nos-1 mRNA becomes undetectable after the 200-cell stage, but reappears later at the 550-cell stage; NOS-1 protein is not detectable in germline blastomeres until the 550-cell stage, suggesting that NOS-1 might actually function zygotically in germline specification."
"WBGene00001121" "MATCH" "1" "dyf-5" "Caenorhabditis elegans" "M04C9.5" "WBGene00001121" "Gene" "dyf-5 encodes a putative MAP kinase orthologous to human MAK/ICK(OMIM:154235), Chlamydomonas reinhardtii LF4, and Leishmania mexicanaMPK9; DYF-5 negatively regulates cilial length, restricts KAP-1 tomiddle ciliary segments, is required for normal localization of six IFTcomponents, and is required for OSM-3 to comigrate normally with IFTparticles; DYF-5 is also required for dye-filling of amphid and phasmidneurons and for normal chemotaxis, dauer formation, and male mating;DYF-5 is expressed in head neurons (including amphid neurons), tailneurons (including phasmid neurons), CAN cells, excretory canal neurons,posterior lateral ganglion neurons and in many male tail cells; dyf-5mutant cilia are abnormally elongated, either failing to enter theamphid channel or accumulating IFT proteins at their distal ends,whereas DYF-5 overexpression results in truncated cilia; the dyf-5promoter region contains an X-box, predicted to be bound andtranscriptionally activated by DAF-19, and dyf-5 is regulated by DAF-19in vivo; dyf-5 animals are slightly shorter than normal."
"WBGene00015745" "MATCH" "1" "C13F10.6" "Caenorhabditis elegans" "C13F10.6" "WBGene00015745" "Gene" ""
"WBGene00015746" "MATCH" "1" "C13F10.7" "Caenorhabditis elegans" "C13F10.7" "WBGene00015746" "Gene" ""
"WBGene00015747" "MATCH" "1" "C13G5.2" "Caenorhabditis elegans" "C13G5.2" "WBGene00015747" "Gene" ""
"WBGene00044294" "MATCH" "1" "C01B10.11" "Caenorhabditis elegans" "C01B10.11" "WBGene00044294" "Gene" "C01B10.11 encodes a novel protein, conserved amongst nematodes; loss of C01B10.11 function via large-scale RNAi experiments indicates that C01B10.11 is required for coordinated locomotion and normal body morphology; expression studies indicate that C01B10.11 mRNA is enriched in the intestine."
"WBGene00015741" "MATCH" "1" "C13F10.1" "Caenorhabditis elegans" "C13F10.1" "WBGene00015741" "Gene" ""
"WBGene00015742" "MATCH" "1" "kxd-1" "Caenorhabditis elegans" "C13F10.2" "WBGene00015742" "Gene" ""
"WBGene00015743" "MATCH" "1" "soap-1" "Caenorhabditis elegans" "C13F10.4" "WBGene00015743" "Gene" ""
"WBGene00015744" "MATCH" "1" "C13F10.5" "Caenorhabditis elegans" "C13F10.5" "WBGene00015744" "Gene" ""
"WBGene00044290" "MATCH" "1" "B0035.18" "Caenorhabditis elegans" "B0035.18" "WBGene00044290" "Gene" ""
"WBGene00001119" "MATCH" "1" "dyf-3" "Caenorhabditis elegans" "C04C3.5" "WBGene00001119" "Gene" "dyf-3 encodes an ortholog of zebrafish cluap1 (also qilin, and like PKD2required to suppress kidney cysts) and human clusterin-associatedprotein 1 (CLUAP1); DYF-3 is predicted to have two coiled-coil domains;DYF-3 is required for normal assembly of middle and distal ciliarysegments, with dyf-3 mutants showing truncated sensory cilia; DYF-3 isrequired cell-autonomously for dye uptake; dyf-3 is expressed in amphid,phasmid, and IL2 sensory neurons; dyf-3 expression requires DAF-19."
"WBGene00195244" "MATCH" "1" "F30A10.15" "Caenorhabditis elegans" "F30A10.15" "WBGene00195244" "Gene" ""
"WBGene00001115" "MATCH" "1" "dyb-1" "Caenorhabditis elegans" "F47G6.1" "WBGene00001115" "Gene" "dyb-1 encodes a homolog of mammalian alpha-dystrobrevin (DTNA); DYB-1 physically interacts with DYS-1/dystrophin in vitro and CTN-1/alpha-catulinand and DYS-1/dystrophin in vivo."
"WBGene00001116" "MATCH" "1" "dyc-1" "Caenorhabditis elegans" "C33G3.1" "WBGene00001116" "Gene" "dyc-1 encodes a homolog of murine CAPON, a protein associated with neuronal nitric oxide synthase that regulates its interactions with PSD95; DYC-1 is expressed in muscle, and is required for a dystrophin-related function in muscle."
"WBGene00003777" "MATCH" "1" "nmy-2" "Caenorhabditis elegans" "F20G4.3" "WBGene00003777" "Gene" "nmy-2 encodes a non-muscle myosin II; NMY-2 is required for polarized cytoplasmic flow, polarized distribution of the PAR proteins, cytokinesis, and for proper anterior-posterior polarity in early embryos; NMY-2 functions with PAR-5 in the onset of the establishment phase of polarization in the C. elegans zygote along the anterior-posterior axis, and nmy-2 is partially redundant with nmy-1 with respect to embryonic elongation; NMY-2 localization is dynamic in oocytes and embryos, with localization seen at the cell cortex, cleavage furrow, and spindle; once embryonic polarization is established, cortical NMY-2 localizes asymmetrically, with higher levels seen in the anterior cortex; NMY-2 binds bovine calmodulin in vitro in a calcium-dependent manner; during larval development, NMY-2 is required for correct fate specification in seam cell divisions."
"WBGene00001117" "MATCH" "1" "dyf-1" "Caenorhabditis elegans" "F54C1.5" "WBGene00001117" "Gene" "dyf-1 encodes a ciliary protein, belonging to a conserved but unfamiliarprotein family, specifically required for the kinesin OSM-3 to dock ontoand move intraflagellar transport (IFT) particles; DYF-1 affectsdevelopment of the amphid and phasmid neurons, chemotaxis, and dauerformation; DYF-1 function is downstream of BBS-8, which is required forIFT particles to stably bind both kinesin-II and OSM-3."
"WBGene00001118" "MATCH" "1" "dyf-2" "Caenorhabditis elegans" "ZK520.3" "WBGene00001118" "Gene" "dyf-2 encodes an ortholog of human WDR19; DYF-2 associates withintraflagellar transport (IFT) particle complex B in sensory cilia, andis required for normal assembly and motion of IFT structures, includingcomplex A particles; consequently, DYF-2 is also required for normalcilial structure and chemosensation; dyf-2 expression is regulated byDAF-19; dyf-2 mutants are longer-lived than normal; this seems tocorrelate with the ability to withstand prolonged heat stress andstarvation in L1 larvae; in mice, WDR19 also localizes to cilia."
"WBGene00003779" "MATCH" "1" "nob-1" "Caenorhabditis elegans" "Y75B8A.2" "WBGene00003779" "Gene" "The nob-1 gene encodes one of three C. elegans posterior group homeodomain transcription factors orthologous to Drosophila Abd-B and the vertebrate Hox9-13 proteins; NOB-1, along with an additional posterior Hox ortholog, PHP-3, is required during embryogenesis for proper fate specification and morphogenesis of cells in the posterior region."
"WBGene00195248" "MATCH" "1" "emc-5" "Caenorhabditis elegans" "B0334.15" "WBGene00195248" "Gene" ""
"WBGene00001112" "MATCH" "1" "duo-3" "Caenorhabditis elegans" "Y106G6H.12" "WBGene00001112" "Gene" ""
"WBGene00003776" "MATCH" "1" "nmy-1" "Caenorhabditis elegans" "F52B10.1" "WBGene00003776" "Gene" "nmy-1 encodes a class II non-muscle myosin heavy chain related to Drosophila zipper, which plays a role in several aspects of embryonic morphogenesis; in C. elegans, NMY-1 is required for embryonic elongation and establishment of normal body morphology; however, nmy-1 functions redundantly with another non-muscle myosin heavy chain gene, nmy-2, during elongation and establishment of normal body morphology; mutations in nmy-1 suppress the hypercontraction phenotype produced by mutations in mel-11, a myosin phosphatase that regulates actomyosin filament contraction; in addition, NMY-1 may partner with MLC-4, myosin light chain 4, during elongation; NMY-1 expression is detected during embryogenesis, particularly at the onset of elongation."
"WBGene00001113" "MATCH" "1" "dur-1" "Caenorhabditis elegans" "F25H8.5" "WBGene00001113" "Gene" "The dur-1 ('Dauer UpRegulated') gene encodes proteins (DUR-1A and DUR-1C) that are predicted to be hydrophilic and heat-resistant, and that might participate in anhydrobiosis; expression of at least one dur-1 transcript is upregulated in dauer larvae and other transcripts may be specifically expressed in dauer larvae."
"WBGene00003775" "MATCH" "1" "nmr-2" "Caenorhabditis elegans" "T01C3.10" "WBGene00003775" "Gene" "nmr-2 encodes an ionotropic glutamate receptor (iGluR) subunit that is most similar to members of the NR2A subfamily of the NMDA class of iGluRs; genetic analysis indicates that nmr-2 is required for full memory retention of a learned avoidance behavior, namely avoidance of NaCl after starvation conditioning; in addition, NMR-2 activity is required for NMDA-gated currents in the AVA interneuron; an NMR-2::GFP fusion protein is expressed in the AVA, AVD, AVE, RIM, AVG, and PVC interneurons beginning at the three-fold stage of embryogenesis; NMR-2::GFP expression is coincident with that of NMR-1, a second C. elegans NMDA-type ionotropic glutamate receptor subunit also required for memory retention; nmr-2 expression in AVA and AVE is positively regulated by the FAX-1 nuclear receptor."
"WBGene00007375" "MATCH" "1" "C06C3.4" "Caenorhabditis elegans" "C06C3.4" "WBGene00007375" "Gene" ""
"WBGene00007374" "MATCH" "1" "C06C3.3" "Caenorhabditis elegans" "C06C3.3" "WBGene00007374" "Gene" ""
"WBGene00007372" "MATCH" "1" "C06B8.7" "Caenorhabditis elegans" "C06B8.7" "WBGene00007372" "Gene" ""
"WBGene00018037" "MATCH" "1" "chtl-1" "Caenorhabditis elegans" "F35C8.7" "WBGene00018037" "Gene" ""
"WBGene00020347" "MATCH" "1" "ech-1.2" "Caenorhabditis elegans" "T08B2.7" "WBGene00020347" "Gene" "ech-1.2 encodes one of two C. elegans enoyl-CoA hydratases/long-chain 3-hydroxyacyl-CoA dehydrogenases [EC:4.2.1.17 1.1.1.211] orthologous to human HADHA (hydroxyacyl-coenzyme A dehydrogenase/3-ketoacyl-coenzyme A thiolase/enoyl-coenzyme a hydratase (trifunctional protein), alpha subunit OMIM:600890), which when mutated leads to disease."
"WBGene00044314" "MATCH" "1" "fbxb-33" "Caenorhabditis elegans" "M151.8" "WBGene00044314" "Gene" ""
"WBGene00020348" "MATCH" "1" "mrpl-23" "Caenorhabditis elegans" "T08B2.8" "WBGene00020348" "Gene" ""
"WBGene00021679" "MATCH" "1" "Y48G1C.6" "Caenorhabditis elegans" "Y48G1C.6" "WBGene00021679" "Gene" ""
"WBGene00020349" "MATCH" "1" "T08B2.11" "Caenorhabditis elegans" "T08B2.11" "WBGene00020349" "Gene" ""
"WBGene00044312" "MATCH" "1" "K04C2.8" "Caenorhabditis elegans" "K04C2.8" "WBGene00044312" "Gene" ""
"WBGene00019368" "MATCH" "1" "txt-4" "Caenorhabditis elegans" "K03H6.2" "WBGene00019368" "Gene" ""
"WBGene00018038" "MATCH" "1" "F35C8.8" "Caenorhabditis elegans" "F35C8.8" "WBGene00018038" "Gene" ""
"WBGene00019365" "MATCH" "1" "rei-2" "Caenorhabditis elegans" "K03E6.7" "WBGene00019365" "Gene" ""
"WBGene00044310" "MATCH" "1" "H20J04.9" "Caenorhabditis elegans" "H20J04.9" "WBGene00044310" "Gene" ""
"WBGene00044311" "MATCH" "1" "K04C2.7" "Caenorhabditis elegans" "K04C2.7" "WBGene00044311" "Gene" ""
"WBGene00019364" "MATCH" "1" "mksr-1" "Caenorhabditis elegans" "K03E6.4" "WBGene00019364" "Gene" "mkrs-1 encodes an ortholog of human B9D1, paralogous to MKRS-2 and MKS-1; MKRS-1 is required for fully normal foraging behavior, and is redundantly required with NPH-4 for roughly normal foraging, and with both NPH-1 and NPH-4 for cilia formation; mkrs-1 is expressed generally in neurons throughout the body, with ciliary neuron expression being dependent on DAF-19; MKRS-1 forms a complex with MKRS-2 and MKS-1 at the base of cilia, and is coexpressed with these proteins in ciliated sensory neurons; MKRS-1 requires MKRS-2 for localization to the transistion zone, and binds MKRS-2 in two-hybrid assays."
"WBGene00019361" "MATCH" "1" "clik-3" "Caenorhabditis elegans" "K03E5.2" "WBGene00019361" "Gene" ""
"WBGene00019362" "MATCH" "1" "cdk-2" "Caenorhabditis elegans" "K03E5.3" "WBGene00019362" "Gene" "cdk-2 encodes the C. elegans ortholog of cyclin-dependent kinase 2; along with CYE-1 (cyclin E), CDK-2 is required for the G1/S transition in somatic cells, centrosome assembly and polarity establishment in the embryo, proliferation of germ cells, and suppression of terminal differentiation in quiescent cells after asymmetric division; CYE-1 and CDK-2 also regulate the germline mitosis/meiosis decision through post-translational regulation of GLD-1, likely direct phosphorylation."
"WBGene00021671" "MATCH" "1" "Y48G1BM.6" "Caenorhabditis elegans" "Y48G1BM.6" "WBGene00021671" "Gene" ""
"WBGene00020341" "MATCH" "1" "T08B1.4" "Caenorhabditis elegans" "T08B1.4" "WBGene00020341" "Gene" ""
"WBGene00020343" "MATCH" "1" "acs-3" "Caenorhabditis elegans" "T08B1.6" "WBGene00020343" "Gene" ""
"WBGene00044318" "MATCH" "1" "tag-267" "Caenorhabditis elegans" "W06E11.2" "WBGene00044318" "Gene" ""
"WBGene00021675" "MATCH" "1" "Y48G1BR.1" "Caenorhabditis elegans" "Y48G1BR.1" "WBGene00021675" "Gene" ""
"WBGene00044319" "MATCH" "1" "tag-266" "Caenorhabditis elegans" "W06E11.5" "WBGene00044319" "Gene" "W06E11.5/tag-266 encodes a cysteine-rich hydrophobic (CHIC) protein  orthologous to human CHIC1/BRX and CHIC2/BTL; by orthology to human CHIC2,  cysteine residues in the C-terminal CHIC domain of W06E11.5B are  predicted to be palmitoylated, and this hydrophobic domain is expected  to bind W06E11.5B to Golgi vesicles and the plasma membrane; however, W06E11.5 has no obvious function in mass RNAi assays."
"WBGene00021676" "MATCH" "1" "pid-2" "Caenorhabditis elegans" "Y48G1C.1" "WBGene00021676" "Gene" ""
"WBGene00020346" "MATCH" "1" "rbm-5" "Caenorhabditis elegans" "T08B2.5" "WBGene00020346" "Gene" ""
"WBGene00021677" "MATCH" "1" "pgs-1" "Caenorhabditis elegans" "Y48G1C.4" "WBGene00021677" "Gene" "pgs-1 encodes a phosphatidylglycerophosphate (PGP) synthase; by homology, PGS-1 is predicted to catalyze the formation of phosphatidylglycerophosphate from cytidinediphosphate-diacylglycerol and glycerol 3-phosphate; in C. elegans, pgs-1 activity is required for normal germ cell mitochondrial membrane potential and cristae morphology, as well as for germ cell proliferation."
"WBGene00007365" "MATCH" "1" "C06B3.6" "Caenorhabditis elegans" "C06B3.6" "WBGene00007365" "Gene" ""
"WBGene00007363" "MATCH" "1" "stdh-1" "Caenorhabditis elegans" "C06B3.4" "WBGene00007363" "Gene" "stdh-1 encodes a putative steroid dehydrogenase required for normally short lifespan; STDH-1 is orthologous to human HSD17B3 (OMIM:605573, mutated in pseudohermaphroditism), HSD17B12 (OMIM:609574), and HSDL1, and paralogous to LET-767 and STDH-2/-4; STDH-1 is expressed in larval intestine, and in both larval and adult body wall muscle and neurons."
"WBGene00008694" "MATCH" "1" "vwa-8" "Caenorhabditis elegans" "F11C1.5" "WBGene00008694" "Gene" ""
"WBGene00021691" "MATCH" "1" "Y48G8AL.13" "Caenorhabditis elegans" "Y48G8AL.13" "WBGene00021691" "Gene" ""
"WBGene00008691" "MATCH" "1" "mff-1" "Caenorhabditis elegans" "F11C1.2" "WBGene00008691" "Gene" ""
"WBGene00008690" "MATCH" "1" "F11C1.1" "Caenorhabditis elegans" "F11C1.1" "WBGene00008690" "Gene" ""
"WBGene00021689" "MATCH" "1" "znf-236" "Caenorhabditis elegans" "Y48G8AL.10" "WBGene00021689" "Gene" ""
"WBGene00044304" "MATCH" "1" "F52B10.3" "Caenorhabditis elegans" "F52B10.3" "WBGene00044304" "Gene" ""
"WBGene00018047" "MATCH" "1" "clec-136" "Caenorhabditis elegans" "F35D11.7" "WBGene00018047" "Gene" ""
"WBGene00018044" "MATCH" "1" "F35D11.3" "Caenorhabditis elegans" "F35D11.3" "WBGene00018044" "Gene" ""
"WBGene00018046" "MATCH" "1" "coa-3" "Caenorhabditis elegans" "F35D11.5" "WBGene00018046" "Gene" ""
"WBGene00018045" "MATCH" "1" "F35D11.4" "Caenorhabditis elegans" "F35D11.4" "WBGene00018045" "Gene" ""
"WBGene00021681" "MATCH" "1" "Y48G1C.8" "Caenorhabditis elegans" "Y48G1C.8" "WBGene00021681" "Gene" ""
"WBGene00020351" "MATCH" "1" "T08B6.1" "Caenorhabditis elegans" "T08B6.1" "WBGene00020351" "Gene" ""
"WBGene00021682" "MATCH" "1" "natc-3" "Caenorhabditis elegans" "Y48G1C.9" "WBGene00021682" "Gene" ""
"WBGene00021683" "MATCH" "1" "mtm-10" "Caenorhabditis elegans" "Y48G1C.10" "WBGene00021683" "Gene" ""
"WBGene00018041" "MATCH" "1" "F35D2.3" "Caenorhabditis elegans" "F35D2.3" "WBGene00018041" "Gene" ""
"WBGene00020354" "MATCH" "1" "sgnh-1" "Caenorhabditis elegans" "T08B6.5" "WBGene00020354" "Gene" ""
"WBGene00021685" "MATCH" "1" "herc-1" "Caenorhabditis elegans" "Y48G8AL.1" "WBGene00021685" "Gene" "The Y48G8AL.1 gene encodes a homolog of human E6-AP ubiquitin-protein ligase, (UBE3A; OMIM:601623) which when mutated leads to one form of Angelman syndrome (OMIM:105830)."
"WBGene00021686" "MATCH" "1" "nsun-2" "Caenorhabditis elegans" "Y48G8AL.5" "WBGene00021686" "Gene" ""
"WBGene00044305" "MATCH" "1" "rad-8" "Caenorhabditis elegans" "F56H1.6" "WBGene00044305" "Gene" "rad-8 encodes a protein with similarity to dehydrogenases/reductases that is orthologous to the human mitochondrial protein RTN4IP1 (reticulon 4 interacting protein 1); rad-8 was identified in screens for loci that when mutated result in abnormal radiation sensitivity; rad-8 mutant animals are hypersensitive to ultraviolet irradiation, methyl viologen (paraquat) treatment, high concentrations of oxygen (50% or greater), and pathogen infection; young adult rad-8 hermaphrodites produce many inviable embryos, but fertility increases as the animals age; rad-8 mutant animals are also long-lived at 16 degrees C, but not at 20 degrees C; a RAD-8::GFP fusion protein is widely expressed and seen in the neurons, pharynx, muscles, and intestine; a RAD-8::GFP fusion protein localizes to mitochondrion; increased oxygen sensitivity displayed by rad-8 mutants can be rescued by overexpression of human RTN4IP1."
"WBGene00021687" "MATCH" "1" "Y48G8AL.7" "Caenorhabditis elegans" "Y48G8AL.7" "WBGene00021687" "Gene" ""
"WBGene00006066" "MATCH" "1" "sto-4" "Caenorhabditis elegans" "Y71H9A.3" "WBGene00006066" "Gene" ""
"WBGene00007396" "MATCH" "1" "rnp-9" "Caenorhabditis elegans" "C07A4.1" "WBGene00007396" "Gene" ""
"WBGene00007395" "MATCH" "1" "dcar-1" "Caenorhabditis elegans" "C06H5.7" "WBGene00007395" "Gene" ""
"WBGene00006062" "MATCH" "1" "stn-1" "Caenorhabditis elegans" "F30A10.8" "WBGene00006062" "Gene" "stn-1 encodes a syntrophin, a PDZ and PH domain-containing adaptor protein, with homology to vertebrate alpha and beta-syntrophins; stn-1 activity is required in muscles for normal locomotory behavior: in the absence of stn-1, animals are hyperactive, display exaggerated head movement when moving forward, and hypercontract upon backward locomotion; stn-1 is likely to function in the same pathway as dys-1/dystrophin, as single and double mutants have the same phenotype and STN-1 physically interacts with DYB-1/dystrobrevin; STN-1 also physically interacts with the SNF-6 acetylcholine transporter, and the novel ISLO-1 adaptor protein; stn-1 is expressed beginning at the two-fold stage of embryogenesis and is seen in muscles, including body wall, vulval, and head muscles, and neurons, including head neurons and the ventral nerve cord."
"WBGene00007394" "MATCH" "1" "C06H5.6" "Caenorhabditis elegans" "C06H5.6" "WBGene00007394" "Gene" ""
"WBGene00006063" "MATCH" "1" "sto-1" "Caenorhabditis elegans" "F08C6.4" "WBGene00006063" "Gene" ""
"WBGene00006061" "MATCH" "1" "stl-1" "Caenorhabditis elegans" "F30A10.5" "WBGene00006061" "Gene" ""
"WBGene00007391" "MATCH" "1" "C06H2.7" "Caenorhabditis elegans" "C06H2.7" "WBGene00007391" "Gene" ""
"WBGene00007390" "MATCH" "1" "lmtr-3" "Caenorhabditis elegans" "C06H2.6" "WBGene00007390" "Gene" ""
"WBGene00018008" "MATCH" "1" "vpr-1" "Caenorhabditis elegans" "F33D11.11" "WBGene00018008" "Gene" "vpr-1 encodes the C. elegans VAP (VAMP-associated protein) ortholog, a transmembrane protein containing an N-terminal extracellular major sperm protein (MSP) domain; loss of vpr-1 function during development indicates that vpr-1 is required, both in vab-1-dependent and vab-1-independent pathways, for proper distal tip cell migration during somatic gonad development, ventral hypodermal cell migrations during embryonic enclosure, and anteriorly directed amphid neuron migration; like C. elegans MSPs, injection of the VPR-1 MSP domain into fog-2 females induces oocyte maturation and gonadal sheath cell contraction; the VPR-1 MSP domain directly binds the VAB-1/Ephrin receptor extracellular domain in vitro and in vivo, binds the oocyte and gonadal sheath cell plasma membranes."
"WBGene00018007" "MATCH" "1" "F33D11.10" "Caenorhabditis elegans" "F33D11.10" "WBGene00018007" "Gene" ""
"WBGene00018009" "MATCH" "1" "dhhc-3" "Caenorhabditis elegans" "F33D11.12" "WBGene00018009" "Gene" ""
"WBGene00019347" "MATCH" "1" "mbl-1" "Caenorhabditis elegans" "K02H8.1" "WBGene00019347" "Gene" "mbl-1 encodes, by alternative splicing, two isoforms of a putative MUSCLEBLIND-type mRNA splicing regulator required in adults for normal muscle dense body organization, locomotion, and vulval morphogenesis; MBL-1 is orthologous to Drosophila MBL and human MBNL1 (OMIM:606516), MBNL2 (OMIM:607327), and MBNL3 (OMIM:300413); mbl-1 is transcribed in larvae and adults; mbl-1(RNAi) animals show protruding vulvae, progressive uncoordination, and disordered dense bodies; while mbl-1 is required in adults, it is dispensable in larvae, perhaps reflecting a progressive muscle dystrophy in mbl-1(RNAi) animals."
"WBGene00020325" "MATCH" "1" "bath-46" "Caenorhabditis elegans" "T07H3.2" "WBGene00020325" "Gene" ""
"WBGene00018015" "MATCH" "1" "F33G12.3" "Caenorhabditis elegans" "F33G12.3" "WBGene00018015" "Gene" ""
"WBGene00018014" "MATCH" "1" "wdr-83" "Caenorhabditis elegans" "F33G12.2" "WBGene00018014" "Gene" ""
"WBGene00021657" "MATCH" "1" "Y48G1A.1" "Caenorhabditis elegans" "Y48G1A.1" "WBGene00021657" "Gene" ""
"WBGene00018017" "MATCH" "1" "golg-2" "Caenorhabditis elegans" "F33G12.5" "WBGene00018017" "Gene" ""
"WBGene00021658" "MATCH" "1" "Y48G1A.2" "Caenorhabditis elegans" "Y48G1A.2" "WBGene00021658" "Gene" ""
"WBGene00018016" "MATCH" "1" "lrr-1" "Caenorhabditis elegans" "F33G12.4" "WBGene00018016" "Gene" "lrr-1 encodes a leucine rich repeat-containing protein that also contains a BC/Cul-2 box; lrr-1 activity is required for regulating the extent of DNA replication during S phase and hence, normal cell cycle progression, in both the germ line and the early embryo; specifically, LRR-1 is predicted to function as a substrate-recognition subunit of a Cullin-RING E3 ubiquitin ligase complex, as LRR-1 forms a complex in vitro with ELC-1 and ELB-1, and interacts in vivo with CUL-2; LRR-1 localizes to the nucleus throughout the germ line and in early embryos; LRR-1's nuclear localization is dependent upon CUL-2 and ELB-1."
"WBGene00018011" "MATCH" "1" "F33E11.3" "Caenorhabditis elegans" "F33E11.3" "WBGene00018011" "Gene" ""
"WBGene00019343" "MATCH" "1" "nep-18" "Caenorhabditis elegans" "K02F6.9" "WBGene00019343" "Gene" "K02F6.9 encodes a neprilysin; neprilysins are thermolysin-like zinc metallopeptidases, found on the outer surface of animal cells, that negatively regulate small signalling peptides (e.g., enkephalin, tachykinin, insulin, and natriuretic peptides) by cleaving them; K02F6.9 has no clear orthologs in other organisms."
"WBGene00019344" "MATCH" "1" "dhhc-10" "Caenorhabditis elegans" "K02G10.1" "WBGene00019344" "Gene" ""
"WBGene00018010" "MATCH" "1" "F33E11.2" "Caenorhabditis elegans" "F33E11.2" "WBGene00018010" "Gene" ""
"WBGene00018013" "MATCH" "1" "phf-10" "Caenorhabditis elegans" "F33E11.6" "WBGene00018013" "Gene" ""
"WBGene00019341" "MATCH" "1" "K02F6.7" "Caenorhabditis elegans" "K02F6.7" "WBGene00019341" "Gene" ""
"WBGene00021650" "MATCH" "1" "Y47G6A.26" "Caenorhabditis elegans" "Y47G6A.26" "WBGene00021650" "Gene" ""
"WBGene00020320" "MATCH" "1" "T07F8.4" "Caenorhabditis elegans" "T07F8.4" "WBGene00020320" "Gene" ""
"WBGene00021651" "MATCH" "1" "miro-3" "Caenorhabditis elegans" "Y47G6A.27" "WBGene00021651" "Gene" ""
"WBGene00020321" "MATCH" "1" "T07F12.1" "Caenorhabditis elegans" "T07F12.1" "WBGene00020321" "Gene" "T07F12.1 encodes a member of the histidine phosphatase superfamilyorthologous to Bombyx mori ecdysteroid phosphate phosphatase (EPP),human STS1 (OMIM:609201) and human UBASH3A (OMIM:605736); in cellculture, recombinant T07F12.1 is a cytosolic enzyme with steroidphosphatase activity on ecdysone 22-phosphate (E22P), 3-epiecdysone22-phosphate, 3-epiecdysone 2-phosphate substrates, and prednisolone21-phosphate substrates, with E22P being preferred; T07F12.1 has noactivity against 3-epiecdysone 3(alpha)-phosphate or1-dehydrotestosterone sodium sulphate; unlike its Bombyx or mammalianorthologs, T07F12.1 lacks non-catalytic SH3 and UBA domains; T07F12.1 isparalogous to C. elegans C52E4.7, F09C12.8, F53B6.7, and F55A11.11."
"WBGene00020322" "MATCH" "1" "T07F12.2" "Caenorhabditis elegans" "T07F12.2" "WBGene00020322" "Gene" ""
"WBGene00021654" "MATCH" "1" "Y47G7B.2" "Caenorhabditis elegans" "Y47G7B.2" "WBGene00021654" "Gene" ""
"WBGene00021655" "MATCH" "1" "Y48A5A.1" "Caenorhabditis elegans" "Y48A5A.1" "WBGene00021655" "Gene" ""
"WBGene00006059" "MATCH" "1" "stc-1" "Caenorhabditis elegans" "F54C9.2" "WBGene00006059" "Gene" "stc-1 encodes an ATPase that is similar to the vertebrate HSPA13/STCH proteins that are members of the heat shock protein 70 family; by homology, STC-1 is predicted to function as an ER chaperone, and loss of stc-1 activity results in induction of an hsp-4::gfp transgene and increased aggregation of a heterologously expressed mutant human SOD1 protein in C. elegans neurons."
"WBGene00007389" "MATCH" "1" "glb-3" "Caenorhabditis elegans" "C06H2.5" "WBGene00007389" "Gene" "glb-3 encodes a globin with no obvious function in mass RNAi assays."
"WBGene00006055" "MATCH" "1" "ssr-2" "Caenorhabditis elegans" "C14A11.7" "WBGene00006055" "Gene" ""
"WBGene00007387" "MATCH" "1" "jmjd-5" "Caenorhabditis elegans" "C06H2.3" "WBGene00007387" "Gene" ""
"WBGene00007386" "MATCH" "1" "C06H2.2" "Caenorhabditis elegans" "C06H2.2" "WBGene00007386" "Gene" ""
"WBGene00007385" "MATCH" "1" "atp-5" "Caenorhabditis elegans" "C06H2.1" "WBGene00007385" "Gene" ""
"WBGene00018018" "MATCH" "1" "F33G12.6" "Caenorhabditis elegans" "F33G12.6" "WBGene00018018" "Gene" ""
"WBGene00021667" "MATCH" "1" "snpc-3.2" "Caenorhabditis elegans" "Y48G1BM.1" "WBGene00021667" "Gene" ""
"WBGene00019357" "MATCH" "1" "cpg-8" "Caenorhabditis elegans" "K03B4.7" "WBGene00019357" "Gene" "cpg-8 encodes, by alternative splicing, two putatively secreted smallproteins of 115 and 99 residues; the large CPG-8 isoform has 6 potentialchondroitin attachment sites, 5 of them verified by mass spectrometry;CPG-8 has no obvious function in mass RNAi assays."
"WBGene00019354" "MATCH" "1" "K03B4.2" "Caenorhabditis elegans" "K03B4.2" "WBGene00019354" "Gene" ""
"WBGene00018021" "MATCH" "1" "F34D6.1" "Caenorhabditis elegans" "F34D6.1" "WBGene00018021" "Gene" "This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins."
"WBGene00019353" "MATCH" "1" "K03B4.1" "Caenorhabditis elegans" "K03B4.1" "WBGene00019353" "Gene" ""
"WBGene00019351" "MATCH" "1" "lron-7" "Caenorhabditis elegans" "K03A1.2" "WBGene00019351" "Gene" ""
"WBGene00021660" "MATCH" "1" "nol-14" "Caenorhabditis elegans" "Y48G1A.4" "WBGene00021660" "Gene" ""
